time,Solar8000/PLETH_SPO2,Solar8000/FIO2,BIS/EEG2_WAV,Primus/SET_RR_IPPV,Primus/FEO2,Primus/MAC,BIS/BIS,Solar8000/NIBP_DBP,Primus/SET_TV_L,Solar8000/VENT_MAWP,Primus/PEEP_MBAR,Primus/SET_FRESH_FLOW,Solar8000/VENT_RR,Primus/SET_AGE,Solar8000/VENT_PPLAT,Primus/PPLAT_MBAR,Primus/FLOW_O2,Primus/PAMB_MBAR,Primus/MV,Solar8000/RR_CO2,Primus/FEN2O,Solar8000/INCO2,Solar8000/VENT_PIP,Orchestra/PPF20_VOL,Primus/TV,Solar8000/VENT_SET_FIO2,Orchestra/PPF20_RATE,BIS/EMG,BIS/EEG1_WAV,Orchestra/PPF20_CP,Primus/ETCO2,Primus/INCO2,Primus/CO2,Primus/FIN2O,Solar8000/VENT_SET_TV,SNUADC/ECG_II,Primus/AWP,SNUADC/ECG_V5,Orchestra/PPF20_CE,Primus/SET_INSP_TM,Solar8000/ETCO2,Primus/SET_INTER_PEEP,Primus/SET_PIP,Solar8000/VENT_MV,Solar8000/VENT_TV,BIS/SEF,Solar8000/VENT_INSP_TM,Solar8000/FEO2,Primus/MAWP_MBAR,Orchestra/RFTN20_CP,BIS/SQI,Primus/EXP_SEVO,SNUADC/PLETH,BIS/TOTPOW,Primus/VENT_LEAK,Solar8000/VENT_SET_PCP,Orchestra/PPF20_CT,Orchestra/RFTN20_RATE,Primus/INSP_SEVO,Solar8000/NIBP_SBP,Solar8000/PLETH_HR,Primus/PIP_MBAR,Primus/RR_CO2,Primus/FIO2,Primus/FLOW_AIR,Solar8000/NIBP_MBP,Solar8000/HR,Primus/FLOW_N2O,Orchestra/RFTN20_CE,Orchestra/RFTN20_CT,Orchestra/RFTN20_VOL,Primus/SET_INSP_PAUSE,BIS/SR,Primus/COMPLIANCE
0,,,NaN,,,,0,,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,,,,,,,,,,,,,,,
1,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,-4.9562602043151855,-20,-4.9562602043151855,,,,,,,,,,,,,0,,-198.25039672851562,,,,,,,,,,,,,,,,,,,,,
2,98,,0.0078125,,,,0,64,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,0.0015999999595806003,,,-4.956240177154541,-19.99839973449707,-4.956240177154541,,,,,,,,,,,,,0,,-198.24960327148438,,,,,,,127,75,,,,,95,73,,,,,,,
3,,,NaN,,,,0,,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,,,,,,,,,,,,,,,
4,98,,NaN,,,,0,64,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,127,73,,,,,95,72,,,,,,,
5,,,NaN,,,,0,,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,,,,,,,,,,,,,,,
6,97,,NaN,,,,0,64,,,,,,64,,,0,1001,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,0,NaN,,8,,,,0,127,73,,,,0,95,73,0,,,,,,
7,,,NaN,,,,0,,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,,,,,,,,,,,,,,,
8,97,,NaN,,,,0,64,,,,,,,,,,,,,,,,0.0,,,0.0,,NaN,0.0,,,NaN,,,NaN,NaN,NaN,0.0,,,,,,,,,,,0.0,0,,NaN,,,,4.0,0.0,,127,73,,,,,95,73,,0.0,4.0,0.0,,,
9,,,NaN,,,,0,,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,,,,,,,,,,,,,,,
10,97,,NaN,,,,0,64,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,127,72,,,,,95,72,,,,,,,
11,,,NaN,,,,0,,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,,,,,,,,,,,,,,,
12,97,,NaN,,,,0,64,,,,,,64,,,0,1001,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,0,NaN,,8,,,,0,127,72,,,,0,95,64,0,,,,,,
13,,,NaN,,,,0,,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,,,,,,,,,,,,,,,
14,98,,NaN,,,,0,64,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,127,72,,,,,95,64,,,,,,,
15,,,NaN,,,,0,,,,,,,,,,,,,,,,,,,,,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,,,,,,,0,,NaN,,,,,,,,,,,,,,,,,,,,,
